Concurrency: 15 Max Time: 300s Early stop - Seen plies: 3 Min time: 10s

TestId              |         Spike1.4        |       Qapla0.3.2bb      |        Qapla0.3.2       |       Stockfish 17       | BM:
(Speelman_EP_1)     |  00.207, D: 12, M: d4d5 |  00.027, D:  5, M: d4d5 |  00.031, D: 12, M: d4d5 |  00.025, D: 11, M: d4d5  | BM: Kd5
(Speelman_EP_2)     |  00.149, D:  3, M: a5b6 |  00.001, D:  1, M: a5b6 |  00.001, D:  1, M: a5b6 |  00.001, D:  1, M: a5b6  | BM: Kb6
(Speelman_EP_3)     |  00.127, D:  4, M: h4h5 |  00.094, D: 10, M: h4h5 |  00.003, D:  6, M: h4h5 |  00.225, D: 18, M: h4h5  | BM: Rh5
(Speelman_EP_4)     |  00.147, D:  2, M: e2d3 |  00.001, D:  1, M: e2d3 |  00.001, D:  1, M: e2d3 |  00.001, D:  6, M: e2d3  | BM: Kd3
(Speelman_EP_5)     |  00.150, D:  5, M: a6c8 |  00.025, D:  7, M: a6c8 |  02.119, D: 28, M: a6c8 |  00.002, D:  8, M: a6c8  | BM: Bc8
(Speelman_EP_6)     |  00.155, D:  5, M: f1f4 |  00.016, D:  7, M: f1f4 |  00.016, D:  7, M: f1f4 |  00.006, D:  7, M: f1f4  | BM: Rf4+
(Speelman_EP_7)     |  00.200, D: 11, M: g6e7 |  00.120, D: 11, M: g6e7 |  00.105, D: 14, M: g6e7 |  00.191, D: 16, M: g6e7  | BM: Ne7
(Speelman_EP_8)     | 127.438, D: 25, M: g5g4 |       -, D:  -, M: h7f8 |       -, D:  -, M: h7f8 |  00.171, D: 15, M: g5g4  | BM: g4
(Speelman_EP_9)     |  00.153, D:  1, M: d8h4 |  00.001, D:  1, M: d8g5 |  00.001, D:  1, M: d8f6 |  00.001, D:  1, M: d8g5  | BM: Bh4 Ba5 Bg5 Bf6 Be7
(Speelman_EP_10)    |  00.162, D:  3, M: h3f4 |  00.071, D:  7, M: h3f4 |  00.007, D:  7, M: h3f4 |  00.030, D:  8, M: h3f4  | BM: Nf4+
(Speelman_EP_11)    |  00.190, D: 10, M: a6a5 |  00.100, D: 13, M: a6a5 |  00.149, D: 16, M: a6a5 |  00.001, D:  1, M: a6a5  | BM: a5
(Speelman_EP_12)    |  00.158, D:  7, M: g6g5 |  00.005, D:  8, M: g6g5 |  00.006, D:  8, M: g6g5 |  00.001, D:  1, M: g6g5  | BM: g5
(Speelman_EP_13)    |       -, D:  -, M: d5d4 |       -, D:  -, M: f3g4 |       -, D:  -, M: f3g4 |  00.316, D: 17, M: g6g5  | BM: g5
(Speelman_EP_14)    |       -, D:  -, M: e7d6 |  00.253, D: 13, M: h5h4 |  00.188, D: 13, M: h5h4 |       -, D:  -, M: e6e5  | BM: h4
(Speelman_EP_15)    |  00.154, D:  5, M: g5g4 |  00.002, D:  4, M: g5g4 |  00.001, D:  4, M: g5g4 |  00.015, D: 10, M: g5g4  | BM: g4
(Speelman_EP_16)    |       -, D:  -, M: b7h7 |       -, D:  -, M: c6b5 | 202.986, D: 32, M: b7b4 |       -, D:  -, M: c6b5  | BM: Rb4
(Speelman_EP_17)    |  00.034, D:  8, M: a4b5 |  00.001, D:  1, M: a4b5 |  00.001, D:  3, M: a4b5 |  00.001, D:  1, M: a4b5  | BM: Kb5
(Speelman_EP_18)    |  00.057, D: 10, M: h2h4 |  00.001, D:  1, M: h2h4 |  00.001, D:  1, M: h2h4 |  00.001, D:  1, M: h2h4  | BM: h4
(Speelman_EP_19)    |  00.048, D:  9, M: d5e6 |  00.120, D: 12, M: d5e6 |  00.018, D: 12, M: d5e6 |  00.080, D: 12, M: d5e6  | BM: Ke6
(Speelman_EP_20)    |  00.108, D: 14, M: d7c8 |  00.001, D:  1, M: d7c8 |  00.552, D: 17, M: d7c8 |  00.036, D: 11, M: d7c8  | BM: Kc8
(Speelman_EP_21)    |  00.058, D:  7, M: c4f7 |  00.037, D:  7, M: c4f7 |  00.007, D:  8, M: c4f7 |  00.055, D: 14, M: c4f7  | BM: Qf7+
(Speelman_EP_22)    |  00.071, D:  8, M: f5f2 |  00.001, D:  3, M: f5f2 |  00.001, D:  3, M: f5f2 |  00.002, D:  7, M: f5f2  | BM: Qf2
(Speelman_EP_23)    |  00.052, D:  9, M: a3a4 |  17.959, D: 21, M: a3a4 |  00.925, D: 22, M: a3a4 |  00.027, D: 11, M: a3a4  | BM: a4+
(Speelman_EP_24)    |  00.029, D:  1, M: f7f5 |  00.002, D:  1, M: f7f5 |  00.001, D:  1, M: f7f5 |  00.001, D:  3, M: f7f5  | BM: f5
(Speelman_EP_25)    |  00.033, D:  8, M: f4f3 |  00.012, D:  6, M: f4f3 |  00.003, D:  7, M: f4f3 |  00.001, D:  1, M: f4f3  | BM: Kg4 Kf3 Kg3
(Speelman_EP_26)    |  02.623, D: 20, M: c5c4 |  01.428, D: 22, M: c5c4 |  02.871, D: 23, M: c5c4 |  00.001, D:  1, M: c5c4  | BM: c4
(Speelman_EP_27)    |  00.073, D: 10, M: d5d6 |  00.100, D: 11, M: d5d6 |  00.088, D: 13, M: d5d6 |  00.036, D: 13, M: d5d6  | BM: d6
(Speelman_EP_28)    |       -, D:  -, M: a4c6 |  10.164, D: 19, M: a4a1 |  00.008, D:  7, M: a4a1 |  00.001, D:  3, M: a4a1  | BM: Qa1+
(Speelman_EP_29)    |       -, D:  -, M: e6e5 |       -, D:  -, M: e6e5 |       -, D:  -, M: e6e5 |       -, D:  -, M: e6e5  | BM: g5
(Speelman_EP_30)    |  02.299, D: 15, M: c3e4 |       -, D:  -, M: b5b8 |       -, D:  -, M: b5b8 |       -, D:  -, M: b5b8  | BM: Ne4
(Speelman_EP_31)    |       -, D:  -, M: b8h8 |       -, D:  -, M: b8h8 |       -, D:  -, M: b8h8 |       -, D:  -, M: b8h8  | BM: Rb1
(Speelman_EP_32)    | 155.851, D: 24, M: g6g7 |  04.524, D: 15, M: g6g7 |  06.333, D: 21, M: g6g7 |  00.040, D: 12, M: g6g7  | BM: g7+
(Speelman_EP_33)    |  00.095, D: 11, M: e2f4 |       -, D:  -, M: e2g1 |       -, D:  -, M: e2g1 |       -, D:  -, M: e2g1  | BM: Nxf4+
(Speelman_EP_34)    |  00.034, D:  2, M: g7g5 |  00.171, D: 14, M: g7g5 |  00.193, D: 15, M: g7g5 |  00.002, D:  7, M: g7g5  | BM: h6 g5
(Speelman_EP_35)    |  00.100, D: 10, M: g2h1 |  00.333, D: 12, M: g2h1 |  00.087, D: 15, M: g2h1 |  00.002, D:  5, M: g2h1  | BM: Kh1
(Speelman_EP_36)    |  00.037, D:  7, M: a3b2 |  00.006, D: 18, M: a3b2 |  00.006, D: 17, M: a3b2 |  00.005, D: 11, M: a3b2  | BM: Kb2
(Speelman_EP_37)    |  00.653, D: 27, M: a1b1 |  00.012, D: 18, M: a1b1 |  00.008, D: 18, M: a1b1 |  00.014, D: 13, M: a1b1  | BM: Kb1
(Speelman_EP_38)    |  00.154, D: 18, M: c2d3 |  00.051, D: 15, M: c2d3 |  00.001, D:  1, M: c2d3 |  00.001, D:  3, M: c2d3  | BM: Kd3
(Speelman_EP_39)    |  00.034, D:  1, M: a8b7 |  00.001, D:  2, M: a8b7 |  01.302, D: 25, M: a8b7 |  00.010, D:  9, M: a8b7  | BM: Kb7
(Speelman_EP_40)    |  00.053, D: 19, M: a1a2 |  00.002, D: 10, M: a1a2 |  00.002, D: 13, M: a1a2 |  00.028, D: 15, M: a1a2  | BM: Ka2
(Speelman_EP_41)    |  00.069, D: 18, M: h8g8 |  00.006, D: 15, M: h8g8 |  00.003, D: 11, M: h8g8 |  00.002, D:  6, M: h8g8  | BM: Kg8
(Speelman_EP_42)    |  00.049, D: 19, M: a1b1 |  00.015, D: 15, M: a1b1 |  00.037, D: 18, M: a1b1 |  00.034, D: 14, M: a1b1  | BM: Kb1
(Speelman_EP_43)    |  00.036, D: 12, M: a5e1 |  00.003, D:  7, M: a5e1 |  00.003, D:  9, M: a5e1 |  00.074, D: 16, M: a5e1  | BM: Be1
(Speelman_EP_44)    |  00.048, D: 10, M: c2a3 |  00.299, D: 21, M: c2a3 |  00.121, D: 20, M: c2a3 |  00.015, D: 12, M: c2a3  | BM: Na3
(Speelman_EP_45)    |       -, D:  -, M: f4e3 |       -, D:  -, M: e5d3 |  38.224, D: 30, M: f4f3 |  00.070, D: 17, M: f4f3  | BM: Kf3
(Speelman_EP_46)    |  00.040, D:  8, M: f3e2 |       -, D:  -, M: f3d1 |  12.471, D: 27, M: f3e2 |       -, D:  -, M: f3d1  | BM: Be2
(Speelman_EP_47)    |  00.030, D:  4, M: e2e6 |  00.001, D:  2, M: e2e6 |  00.001, D:  2, M: e2e6 |  00.002, D: 11, M: e2e6  | BM: Qe6+
(Speelman_EP_48)    |  04.753, D: 18, M: f2e3 | 206.525, D: 27, M: f2e3 |  21.497, D: 23, M: f2e3 |  00.017, D: 12, M: f2e3  | BM: Ke3
(Speelman_EP_49)    |  00.294, D: 21, M: f4f3 |  00.001, D:  1, M: f4f3 |  00.134, D: 17, M: f4f3 |  00.002, D:  9, M: f4f3  | BM: Kf3
(Speelman_EP_50)    |  36.604, D: 26, M: h7h5 |  00.071, D: 11, M: h7h5 |  00.789, D: 15, M: h7h5 |       -, D:  -, M: b8a8  | BM: h5
(Speelman_EP_51)    |       -, D:  -, M: b3d5 |       -, D:  -, M: b3c4 | 239.463, D: 35, M: g4g5 |  00.022, D: 13, M: g4g5  | BM: g5
(Speelman_EP_52)    |  00.109, D: 11, M: a2a3 |  06.790, D: 21, M: a2a3 |  07.802, D: 23, M: a2a3 |  00.010, D:  8, M: a2a3  | BM: a3
(Speelman_EP_53)    |  00.621, D: 13, M: d2d5 |  00.030, D: 10, M: d2d5 |  00.047, D: 11, M: d2d5 |  00.022, D: 10, M: d2d5  | BM: Rd5
(Speelman_EP_54)    |  00.036, D:  7, M: b4b5 |  00.994, D: 17, M: b4b5 |  02.926, D: 23, M: b4b5 |  00.001, D:  4, M: b4b5  | BM: b5
(Speelman_EP_55)    | 116.649, D: 35, M: g6g5 |  59.917, D: 32, M: g6g5 |       -, D:  -, M: d6d7 |  00.112, D: 15, M: g6g5  | BM: g5
(Speelman_EP_56)    |  38.087, D: 34, M: b6b2 | 263.310, D: 34, M: b6b2 |       -, D:  -, M: b6b8 |  01.095, D: 24, M: b6b2  | BM: Rb2+
(Speelman_EP_57)    |  00.033, D:  1, M: e8g8 |  00.001, D:  1, M: e8g8 |  00.001, D:  1, M: e8g8 |  00.001, D:  1, M: e8g8  | BM: Qg8+ Qe6+ Qc8+
(Speelman_EP_58)    |  76.753, D: 26, M: e6e5 |  58.190, D: 26, M: e6e5 |  39.664, D: 25, M: e6e5 |  00.032, D: 11, M: e6e5  | BM: e5
(Speelman_EP_59)    |       -, D:  -, M: g2g4 |       -, D:  -, M: g2g4 |  26.424, D: 21, M: b2b4 |       -, D:  -, M: g2g4  | BM: b4
(Speelman_EP_60)    | 119.026, D: 21, M: h6h7 |       -, D:  -, M: h6h2 |       -, D:  -, M: h6h1 |  00.803, D: 19, M: h6h7  | BM: Rh7
(Speelman_EP_61)    |  00.161, D: 11, M: f7e6 |  00.050, D: 10, M: f7e6 |  00.116, D: 13, M: f7e6 |  00.006, D:  9, M: f7e6  | BM: Ke6
(Speelman_EP_62)    |  00.037, D:  4, M: c6b6 |  01.218, D: 15, M: c6b6 |  00.001, D:  5, M: c6b6 |  00.004, D:  8, M: c6b6  | BM: Rb6
(Speelman_EP_63)    |       -, D:  -, M: c6b4 |       -, D:  -, M: c6b4 |       -, D:  -, M: c6b4 |       -, D:  -, M: c6b4  | BM: Rb1
(Speelman_EP_64)    |       -, D:  -, M: c6c5 |       -, D:  -, M: c6c5 |       -, D:  -, M: c6c5 |       -, D:  -, M: c6c5  | BM: g5
(Speelman_EP_65)    |  00.039, D:  1, M: d4d3 |  00.001, D:  1, M: d4d3 |  00.127, D: 12, M: d4d3 |  00.003, D:  9, M: d4d3  | BM: d3
(Speelman_EP_66)    |  00.044, D:  8, M: f4f3 |  00.001, D:  1, M: f4f3 |  00.001, D:  7, M: f4f3 |  00.007, D: 10, M: f4f3  | BM: Kf3
(Speelman_EP_67)    |  08.289, D: 20, M: h5f4 |       -, D:  -, M: g2g4 |       -, D:  -, M: g2g4 |  00.037, D: 13, M: h5f4  | BM: Nf4
(Speelman_EP_68)    |  00.028, D:  1, M: g4g5 |  00.010, D:  9, M: g4g5 |  00.006, D:  8, M: g4g5 |  00.005, D:  8, M: g4g5  | BM: g5
